"text_of_1month","datums","datums2"
" Linda en Simon zijn blij met de komst van hun doodgewaande tante. Tante Jeanne houdt echter iets verborgen. Arnie geeft zijn ouders te kennen dat hij kiest voor een leven bij de familie Dalstra. Robert stemt daarin toe.","Vrijdag 18 januari 1991"," 18 1 1991"
" De eerste opdracht van Peter en Daniël blijkt een zware klus. Simon heeft zo zijn twijfels over Jeanne. Suzanne doet weer haar intrede en weet Linda en Myriam te interesseren voor een bezoek aan een waarzegster. Helen staat een onaangename verrassing te wachten. ","Maandag 21 januari 1991"," 21 1 1991"
" Terri bekent haar liefde voor Appie aan Arnie. Robert en Laura krijgen een aanbod. Rien is razend op Robert. ","Dinsdag 22 januari 1991"," 22 1 1991"
" De tweede opdracht van Peter en Daniël lijkt meer succes te hebben. Laura is blij met Arnie's besluit. Robert vraagt Helen om raad over Arnie, die erg stil is.","Woensdag 23 januari 1991"," 23 1 1991"
" Myriam is in de ban van de waarzegster. Linda ziet de kans van haar dromen, maar heeft hier wel Rien bij nodig. Helen en Jeanne gooien elkaar ernstige verwijten naar het hoofd. Arnie's kans om terug te kunnen naar school lijkt te zijn verkeken.","Donderdag 24 januari 1991"," 24 1 1991"
" Daniël gaat helemaal op in het pokerspel met zijn gasten. Lily waarschuwt Peter voor haar 'vrienden'. Linda wil haar zin doordrijven. ","Vrijdag 25 januari 1991"," 25 1 1991"
" Het lukt Emile om een baan te krijgen. Robert wordt razend als Arnie hem zijn toekomstplannen vertelt. Daniël's goklust bereikt een dieptepunt. ","Maandag 28 januari 1991"," 28 1 1991"
" Peter is woedend op Daniël. Daniël zit in de put en zoekt steun bij Jeanne. Linda is geheel van slag wanneer ze hoort van Rien's fiasco. ","Dinsdag 29 januari 1991"," 29 1 1991"
" Robert biedt Rien onverwacht een gouden toekomst aan. Linda reageert haar teleurstelling af op Simon. Rien zit zwaar in de problemen. ","Woensdag 30 januari 1991"," 30 1 1991"
" Robert verdenkt de boekhouder op het reclamebureau van verduistering. Peter heeft een onverwachte confrontatie met Helen. Rien doet alle moeite om het geld bij elkaar te krijgen.","Donderdag 31 januari 1991"," 31 1 1991"
" Emile's goede bedoelingen worden door de politie verkeerd uitgelegd. Tegen beter weten in geeft Jeanne haar gevoelens voor Daniël toe. Peter voelt zich bedrogen. ","Vrijdag 1 februari 1991"," 1 2 1991"
" Peter waarschuwt Arnie voor zijn vriendschap met Suzanne. Daniël hervat zijn vroegere baan in het opvangcentrum voor weggelopen jongeren. Arnie gaat werken in het hotel waar Suzanne werkt. Jeanne heeft een nachtmerrie. ","Maandag 4 februari 1991"," 4 2 1991"
" Rien kan het niet uitstaan dat Janet gepromoveerd is. Robert en Laura zijn bezig met hun voorbereidingen voor hun vertrek naar Amerika. Peter komt met een verrassende mededeling. ","Dinsdag 5 februari 1991"," 5 2 1991"
" Myriam kan nog maar net voorkomen dat ze betrapt wordt. Jeanne wordt nerveus en angstig. Simon en Annette kussen elkaar vol hartstocht. Robert en Laura nemen afscheid en vertrekken naar Amerika. ","Woensdag 6 februari 1991"," 6 2 1991"
" Jeanne neemt Helen in vertrouwen over haar gestoorde ex-man. Daniël biedt Helen een baan aan. ","Donderdag 7 februari 1991"," 7 2 1991"
" Simon nodigt Annette uit voor een weekendje in een buitenhuis. Peter is woedend als hij erachter komt dat Simon zijn belofte heeft verbroken.","Vrijdag 8 februari 1991"," 8 2 1991"
" Linda is ervan overtuigd dat alles weer goedkomt tussen haar en Arnie. Janet voelt zich vreselijk schuldig als ze hoort dat Rogier zelfmoord probeerde te plegen.","Maandag 11 februari 1991"," 11 2 1991"
" Janet heeft een gedaanteverwisseling ondergaan en trekt daarmee een hoop aandacht. Jeanne neemt nu ook Simon in vertrouwen. Peter heeft problemen met Jan en zet hem de deur uit. ","Dinsdag 12 februari 1991"," 12 2 1991"
" Myriam is overstuur wanneer ze erachter komt dat de waarzegster met de noorderzon vertrokken is. Linda brengt Suzanne een onverwacht bezoek in het hotel.","Woensdag 13 februari 1991"," 13 2 1991"
" Arnie krijgt bezoek van een oude bekende. Jeanne neemt Daniël in vertrouwen. Linda gelooft niet dat er een misverstand bestaat tussen Arnie en Suzanne. ","Donderdag 14 februari 1991"," 14 2 1991"
" Janet heeft groot succes en zegt Rien de waarheid. Helen heeft genoeg van Myriam's aanstellerij. Daniël komt met een oplossing zodat Simon en Annette toch samen een weekend weg kunnen. ","Vrijdag 15 februari 1991"," 15 2 1991"
